date,league,match,kickoff_hkt,market_line,selection,odds,stake_u,model_prob,fair_odds,edge_pct,book,result,pnl_u,clv_odds,notes
2026-09-19,EPL,Nottm Forest vs Coventry,2026-09-20 00:30,AH -0.5/-1,PASS (FOR -0.5/-1 & COV +0.5/+1 looked),1.75/2.09,0,,,-6 to -9 / ~0 to +2,HKJC,Pass (FT 0-1 COV),0,,Andy Pass all. Forest short juice; Cov 0 pts 0 goals but AH + not ≥5% robust. Pre-match. | FT Forest 0-1 Coventry (Dasilva 55). Shadow: FOR -0.5/-1 would L; COV +0.5/+1 would W.
2026-09-19,EPL,Nottm Forest vs Coventry,2026-09-20 00:30,Corners O/U 9.5|10.5; FOR team 5.5,PASS (all corners; U5.5 team looked),,0,,,,HKJC,Pass (FT corners FOR6 COV2 tot8),0,,FOR team CF~2.75 vs line 5.5 looked +EV paper but Andy Pass all (risk cap with NEW 0.75u pending). Shadow U5.5 optional. | FOR team 6: U5.5 would L (paper edge we Passed). Tot8 U9.5 would W.
2026-09-20,EPL,Fulham vs Manchester United,2026-09-20 23:30,AH 0/-0.5,PASS (FUL 0/+0.5 & MU 0/-0.5 looked),2.17/1.70,0,,,<5% both,HKJC,Pass (FT 1-1; AH shadow: FUL 0/+0.5 would W; MU 0/-0.5 would L),0,,Pre-match final Pass. | FT Fulham 1-1 Man Utd. AH 0/-0.5: draw → FUL 0/+0.5 W; MU 0/-0.5 L. No CLV close.
2026-09-20,EPL,Fulham vs Manchester United,2026-09-20 23:30,MU team corners U5.5; total O/U 9.5|10.5|11.5,PASS (all corners; MU U5.5 looked),1.62,0,,,,HKJC,Pass (FT corners FUL3 MU13 tot16),0,,Pre-match Pass (MU U5.5 @1.62 short). | FT corners 3-13=16. Shadow: MU U5.5 would L hard (13). Tot O9.5/O10.5/O11.5 would W. Short-water Pass saved. No CLV close.
2026-09-20,EPL,Manchester City vs Sunderland,2026-09-20 21:00,AH -1.5/-2,PASS (MCI -1.5/-2 & SUN +1.5/+2 looked),2.17/1.70,0,,,<5%,HKJC,Pass (FT 5-3 MCI; AH shadow: MCI -1.5/-2 half-W/push),0,,Pre-match Pass (hot fav AH). | FT Man City 5-3 Sunderland (win by 2). Shadow MCI -1.5/-2: -1.5 W / -2 push → half-win. SUN +1.5/+2 half-L/push. No CLV close.
2026-09-20,EPL,Manchester City vs Sunderland,2026-09-20 21:00,SUN team corners O3.5; MCI team U7.5; HT corners,PASS (all corners; SUN O3.5 looked),2.40/1.62,0,,,SUN O3.5 paper +10 to +25 then Pass,HKJC,Pass (FT corners MCI6 SUN5 tot11),0,,Pre-match Pass (Andy Pass-direct; SUN O3.5 was top pick). | FT corners 6-5=11. Shadow: SUN O3.5 would W (5); MCI U7.5 would W (6). Paper picks would hit; process Pass. No CLV close.
2026-09-20,EPL,Bournemouth vs Liverpool,2026-09-20 21:00,AH 0/-0.5,PASS (BOU 0/+0.5 & LIV 0/-0.5 looked),1.91/1.91,0,,,<5%,HKJC,Pass (FT 0-1 LIV; AH shadow: LIV 0/-0.5 would W),0,,Pre-match Pass. | FT Bournemouth 0-1 Liverpool. AH: LIV 0/-0.5 W; BOU 0/+0.5 L. No CLV close.
2026-09-20,EPL,Bournemouth vs Liverpool,2026-09-20 21:00,LIV team corners U5.5; total/team corners,PASS (all corners; LIV U5.5 cancelled),~1.39,0,,,<8% after price crush,HKJC,Pass (FT corners BOU3 LIV3 tot6),0,,Pre-match Pass (LIV U5.5 crushed ~1.39 cancelled). | FT corners 3-3=6 (Sky). Shadow: LIV U5.5 would W (3); tot U9.5 would W. Price-crush Pass left EV on table. No CLV close.
2026-09-20,EPL,Leeds vs Crystal Palace,2026-09-20 21:00,AH -0.5/-1,PASS (LEE -0.5/-1 & CRY +0.5/+1 looked),1.83/1.99,0,,,<5%,HKJC,Pass (FT 0-0; AH shadow: LEE -0.5/-1 would L; CRY +0.5/+1 would W),0,,Pre-match Pass. | FT Leeds 0-0 Crystal Palace. AH draw: LEE -0.5/-1 L; CRY +0.5/+1 W. No CLV close.
2026-09-20,EPL,Leeds vs Crystal Palace,2026-09-20 21:00,CRY team corners U3.5; LEE team 5.5|6.5; HT corners,PASS (all corners; CRY U3.5 looked),1.91,0,,,,HKJC,Pass (FT corners LEE4 CRY3 tot7),0,,Pre-match Pass (CRY U3.5 was candidate). | FT corners 4-3=7. Shadow: CRY U3.5 would W (3); LEE U5.5 would W (4); LEE U6.5 would W; tot U9.5/U10.5 would W. No CLV close.
